champion,lane_opponent,n_games,n_wins,winrate,lane_minions_first_10_minutes,max_cs_advantage_on_lane_opponent,max_level_lead_lane_opponent,turret_plates_taken,solo_kills,deaths,normalized_lane_minions_first_10_minutes,normalized_max_cs_advantage_on_lane_opponent,normalized_max_level_lead_lane_opponent,normalized_turret_plates_taken,normalized_solo_kills,normalized_deaths
Aatrox,Ahri,9.0,3.0,0.3333333333333333,66.44444444444444,24.77777777777778,1.7777777777777777,2.7777777777777777,2.0,6.0,-0.3232237327470581,-0.6457270119097953,-0.35644513114777904,0.5210945629438809,-0.3727096309735569,0.9098843294701746
Aatrox,Akali,51.0,28.0,0.5490196078431373,66.45098039215686,33.490196078431374,1.9803921568627452,1.9019607843137254,2.392156862745098,5.0,-0.3220298675688315,-0.03620134155300362,0.10613500505391185,-0.5433216569974534,0.044109137714140566,-0.00636814753618178
Aatrox,Akshan,11.0,7.0,0.6363636363636364,66.45454545454545,16.545454545454547,1.2727272727272727,2.4545454545454546,1.6363636363636365,5.636363636363637,-0.3213786683807089,-1.2216649620423294,-1.509504121679852,0.12825709778235742,-0.7592143073930582,0.5767016105587726
Aatrox,Alistar,5.0,2.0,0.4,77.4,64.2,2.4,2.2,1.2,4.0,1.6779330789952542,2.11227376327702,1.064123545187735,-0.1811024060323423,-1.22301991909646,-0.9226206245425381
Aatrox,Amumu,3.0,3.0,1.0,76.66666666666667,41.0,2.6666666666666665,4.666666666666667,2.6666666666666665,2.6666666666666665,1.5439814059983044,0.4891887524004498,1.6729386921886695,2.8167384999815352,0.33588227579552876,-2.144290593884347
Aatrox,Anivia,7.0,4.0,0.5714285714285714,75.28571428571429,40.285714285714285,2.142857142857143,2.2857142857142856,3.5714285714285716,5.571428571428571,1.2917347490559965,0.43921692324784595,0.47705179629397676,-0.07693032821718862,1.2975427206964314,0.5172046964674502
Aatrox,Annie,5.0,2.0,0.4,65.6,21.8,1.4,1.8,1.2,6.0,-0.47747111377384954,-0.8540540152215389,-1.2189332560657697,-0.667238769169728,-1.22301991909646,0.9098843294701746
Aatrox,Aphelios,7.0,4.0,0.5714285714285714,70.28571428571429,62.0,3.4285714285714284,3.5714285714285716,6.714285714285714,5.0,0.37842788771315666,1.958360529487,3.4124105407627683,1.4856508390101224,4.638047424036407,-0.00636814753618178
Aatrox,Ashe,5.0,1.0,0.2,53.8,10.8,1.2,1.4,1.8,7.0,-2.632875306542951,-1.6236201841716367,-1.6755446163164704,-1.1533751323071137,-0.5852872030042826,1.8261368064765309
Aatrox,AurelionSol,2.0,1.0,0.5,70.5,50.5,2.5,1.0,2.0,5.0,0.4175696103421344,1.1538140801300796,1.2924292253130858,-1.6395114954444991,-0.3727096309735569,-0.00636814753618178
Aatrox,Aurora,77.0,43.0,0.5584415584415584,60.01298701298701,22.77922077922078,1.4415584415584415,1.5194805194805194,2.0259740259740258,4.805194805194805,-1.4980025728639519,-0.7855471803468785,-1.1240529734162734,-1.0081655692920504,-0.3451021540864499,-0.18485888981014725
Aatrox,Azir,5.0,4.0,0.8,61.2,22.2,1.6,2.8,2.6,5.2,-1.281181151755547,-0.8260697908960809,-0.7623218958150684,0.5481021386737356,0.26502308511862044,0.17688234786508966
Aatrox,Bard,3.0,2.0,0.6666666666666666,77.66666666666667,83.0,2.6666666666666665,3.0,1.0,5.666666666666667,1.7266427782668723,3.4275323065735503,1.6729386921886695,0.7911703202424285,-1.4355974911271856,0.6044668371347227
Aatrox,Belveth,6.0,5.0,0.8333333333333334,61.166666666666664,28.666666666666668,2.0,2.3333333333333335,3.1666666666666665,4.5,-1.2872698641645002,-0.3736581643011749,0.15090082468633334,-0.019056951653213812,0.8673262058723431,-0.46449438603935994
Aatrox,Blitzcrank,2.0,2.0,1.0,63.5,32.5,1.5,3.0,1.5,6.5,-0.8610599955378412,-0.10547601451553483,-0.990627575940419,0.7911703202424285,-0.9041535610503713,1.3680105679733527
Aatrox,Brand,2.0,0.0,0.0,66.0,38.0,2.0,1.0,3.0,3.5,-0.40440656486642135,0.27930706995951404,0.15090082468633334,-1.6395114954444991,0.6901782291800718,-1.3807468630457163
Aatrox,Braum,6.0,5.0,0.8333333333333334,69.0,29.833333333333332,2.0,2.8333333333333335,2.3333333333333335,4.0,0.1435775519392825,-0.2920375100185889,0.15090082468633334,0.588613502268518,-0.018413677589013844,-0.9226206245425381
Aatrox,Briar,10.0,4.0,0.4,70.8,47.9,2.5,2.7,3.9,5.5,0.4723680220227043,0.9719166220146018,1.2924292253130858,0.4265680478893896,1.6467773033183375,0.4517580909669964
